file,line,pattern,imagePath,context
"image-inventory.json",220,"path","frontend/public/icons/brand_kuho.webp","""path"": ""frontend/public/icons/brand_kuho.webp"","
"image-inventory.json",221,"path","frontend/public/icons/brand_kuho.webp","""relative_path"": ""frontend/public/icons/brand_kuho.webp"","
"image-inventory.json",229,"path","frontend/public/icons/brand_le-mouton.webp","""path"": ""frontend/public/icons/brand_le-mouton.webp"","
"image-inventory.json",230,"path","frontend/public/icons/brand_le-mouton.webp","""relative_path"": ""frontend/public/icons/brand_le-mouton.webp"","
"image-inventory.json",238,"path","frontend/public/icons/brand_maison-kitsune.webp","""path"": ""frontend/public/icons/brand_maison-kitsune.webp"","
"image-inventory.json",239,"path","frontend/public/icons/brand_maison-kitsune.webp","""relative_path"": ""frontend/public/icons/brand_maison-kitsune.webp"","
"image-inventory.json",247,"path","frontend/public/icons/brand_patagonia.webp","""path"": ""frontend/public/icons/brand_patagonia.webp"","
"image-inventory.json",248,"path","frontend/public/icons/brand_patagonia.webp","""relative_path"": ""frontend/public/icons/brand_patagonia.webp"","
"image-inventory.json",256,"path","frontend/public/icons/brand_rag-and-bone.webp","""path"": ""frontend/public/icons/brand_rag-and-bone.webp"","
"image-inventory.json",257,"path","frontend/public/icons/brand_rag-and-bone.webp","""relative_path"": ""frontend/public/icons/brand_rag-and-bone.webp"","
"image-inventory.json",265,"path","frontend/public/icons/brand_rogatis.webp","""path"": ""frontend/public/icons/brand_rogatis.webp"","
"image-inventory.json",266,"path","frontend/public/icons/brand_rogatis.webp","""relative_path"": ""frontend/public/icons/brand_rogatis.webp"","
"image-inventory.json",274,"path","frontend/public/icons/brand_saint-james.webp","""path"": ""frontend/public/icons/brand_saint-james.webp"","
"image-inventory.json",275,"path","frontend/public/icons/brand_saint-james.webp","""relative_path"": ""frontend/public/icons/brand_saint-james.webp"","
"image-inventory.json",283,"path","frontend/public/icons/brand_sand-sound.webp","""path"": ""frontend/public/icons/brand_sand-sound.webp"","
"image-inventory.json",284,"path","frontend/public/icons/brand_sand-sound.webp","""relative_path"": ""frontend/public/icons/brand_sand-sound.webp"","
"image-inventory.json",292,"path","frontend/public/icons/brand_sporty-and-rich.webp","""path"": ""frontend/public/icons/brand_sporty-and-rich.webp"","
"image-inventory.json",293,"path","frontend/public/icons/brand_sporty-and-rich.webp","""relative_path"": ""frontend/public/icons/brand_sporty-and-rich.webp"","
"image-inventory.json",301,"path","frontend/public/icons/brand_ten-corso-como.webp","""path"": ""frontend/public/icons/brand_ten-corso-como.webp"","
"image-inventory.json",302,"path","frontend/public/icons/brand_ten-corso-como.webp","""relative_path"": ""frontend/public/icons/brand_ten-corso-como.webp"","
"image-inventory.json",310,"path","frontend/public/icons/brand_theory.webp","""path"": ""frontend/public/icons/brand_theory.webp"","
"image-inventory.json",311,"path","frontend/public/icons/brand_theory.webp","""relative_path"": ""frontend/public/icons/brand_theory.webp"","
"image-inventory.json",319,"path","frontend/public/icons/brand_가니.webp","""path"": ""frontend/public/icons/brand_가니.webp"","
"image-inventory.json",320,"path","frontend/public/icons/brand_가니.webp","""relative_path"": ""frontend/public/icons/brand_가니.webp"","
"image-inventory.json",328,"path","frontend/public/icons/brand_갤럭시라이프스타일.webp","""path"": ""frontend/public/icons/brand_갤럭시라이프스타일.webp"","
